一中街,Yizhong St.
三豐路４段,"Sec. 4, Sanfeng Rd."
三豐路５段,"Sec. 5, Sanfeng Rd."
三鎮路,Sanzhen Rd.
三寶街,Sanbao St.
三鶯路,Sanying Rd.
三權路,Sanquan Rd.
三疊溪,Sandiexi
三灣,Sanwan
三鬮路,Sanjiu Rd.
下三屯,Xiasantun
下三座屋,Xiasanzuowu
下三崙,Xiasanlun
下四北路,Xiasi N. Rd.
下四南路,Xiasi S. Rd.
下四湖,Xiasihu
下六股,Xialiugu
下九寮,Xiajiuliao
下土庫仔,Xiatukuzai
下大山腳,Xiada Shanjiau
下大湖,Xiadahu
下大窩,Xiadawo
下大堀,Xiadaku
下山,Xiashan
下山腳,Xiashanjiao
下中,Xiazhong
下內壢,Xianeili
下文光,Xiawenguang
下斗崙,Xiadoulun
下水底,Xiashuidi
下北勢,Xiabeishi
下半天,Xiabantian
下半天農場,Xiabantian Farm
下市場,Xiashichang
下瓦路,Xiawa Rd.
下田,Xiatian
下田心子,Xiatianxinzi
下田路,Xiatian Rd.
下田寮,Xiatianliao
下甲路,Xiajia Rd.
下石屯,Xiashitun
下石厝路,Xiashicuo Rd.
下石頭,Xiashitou
下石頭埔,Xiashitoupu
下后垵,Xiahou’an
下圭柔山,Xiaguirou Mt.
下宇內,Xiayunei
下宅子,Xiazhaizi
下宅仔,Xiazhaizai
下竹圍,Xiazhuwei
下竹圍街,Xiazhuwei St.
下坑,Xiakeng
下坑子口,Xiakengzikou
下坑仔,Xiakengzai
下秀祐,Xiaxiuyou
下里路,Xiali Rd.
下坪,Xiaping
下坪仔,Xiapingzai
下坪路,Xiaping Rd.
下店,Xiadian
下店仔,Xiadianzai
下枋寮,Xiafangliao
下東興,Xiadongxing
下林,Xialin
下林坪,Xialinping
下林頭,Xialintou
下社,Xiashe
下長,Xiachang
下南,Xianan
下南片,Xiananpian
下城街,Xiacheng St.
下城路,Xiacheng Rd.
下奎輝,Xiakuihui
下柑一巷,Xiagan 1st Ln.
下柑二巷,Xiagan 2nd Ln.
下柑三巷,Xiagan 3rd Ln.
下柑四巷,Xiagan 4th Ln.
下柑路,Xiagan Rd.
下泉路,Xiaquan Rd.
下洋仔,Xiayangzai
下洲子,Xiazhouzi
下茄苳,Xiajiadong
下茄埕,Xiajiacheng
下面厝,Xiamiancuo
下厝,Xiacuo
下厝仔,Xiacuozai
下厝坑,Xiacuokeng
下厝巷,Xiacuo Ln.
下厝街,Xiacuo St.
下厝路,Xiacuo Rd.
下員山,Xiayuanshan
下員山路,Xiayuanshan Rd.
下員坑,Xiayuankeng
下員林,Xiayuanlin
下埔,Xiapu
下埔下,Xiapuxia
下埔尾,Xiapuwei
下埔巷,Xiapu Ln.
下埔洋,Xiapuyang
下埔頂,Xiapuding
下埔路,Xiapu Rd.
下宮,Xiagong
下崁,Xiakan
下崁子,Xiakanzi
下桂山,Xiaguishan
下柴路,Xiachai Rd.
下海湖,Xiahaihu
下浮尾,Xiafuwei
下紙寮坑,Xiazhiliaokeng
下罟子,Xiaguzi
下馬,Xiama
下高遶,Xiagaorao
下埤,Xiapi
下埤頭,Xiapitou
下崙,Xialun
下崙路,Xialun Rd.
下康榔,Xiakanglang
下清路,Xiaqing Rd.
下犁路,Xiali Rd.
下莊,Xiazhuang
下莊中興路,Xiazhuangzhongxing Rd.
下莊光武路,Xiazhuangguangwu Rd.
下莊新生街,Xiazhuangxinsheng St.
下蚶路,Xiahan Rd.
下部,Xiabu
下部路,Xiabu Rd.
下陰影窩,Xiayinyingwo
下鹿場路,Xialuchang Rd.
下圍,Xiawei
下堡,Xiabao
下揖子寮,Xiayiziliao
下湖,Xiahu
下湖一街,Xiahu 1st St.
下湖二街,Xiahu 2nd St.
下湖街,Xiahu St.
下湖路,Xiahu Rd.
下菜園,Xiacaiyuan
下街,Xia St.
下街仔,Xiajiezai
下塘頭,Xiatangtou
下塗溝,Xiatugou
下塭路,Xiawen Rd.
下新店,Xiaxindian
下新厝,Xiaxincuo
下新厝農場,Xiaxincuo Farm
下溪,Xiaxi
下溪心,Xiaxixin
下溪巷,Xiaxi Ln.
下溪洲,Xiaxizhou
下溪洲子,Xiaxizhouzi
下路,Sia Rd.
下過溪,Xiaguoxi
下福,Xiafu
下福東路,Xiafu E. Rd.
下福路,Xiafu Rd.
下賓朗,Xiabinlang
下寮,Xialiao
下寮子,Xialiaozi
下寮仔,Xialiaozai
下寮巷,Xialiao Ln.
下寮路,Xialiao Rd.
下樟湖,Xiazhanghu
下樟樹林,Xiazhang Shulin
下潭,Xiatan
下潭底,Xiatandi
下窯溝,Xiayaogou
下橫坑,Xiahengkeng
下橫坪,Xiahengping
下橫街,Xiaheng St.
下橫街第一巷,"1st Ln., Xiaheng St."
下橫街第二巷,"2nd Ln., Xiaheng St."
下橫街第三巷,"3th Ln., Xiaheng St."
下橫路,Xiaheng Rd.
下樹林街,Xiashulin St.
下樹巷,Xiashu Ln.
下橋二巷,Xiaqiao 2nd Ln.
下橋三巷,Xiaqiao 3rd Ln.
下橋四巷,Xiaqiao 4th Ln.
下橋五巷,Xiaqiao 5th Ln.
下橋六巷,Xiaqiao 6th Ln.
下橋頭,Xiaqiaotou
下縣厝子,Xiaxiancuozi
下興里山下,"Shanxia, Xiaxing Vil."
下興南,Xiaxingnan
下頭圍,Xiatouwei
下舊子埔,Xiajiuzipu
下舊社,Xiajiushe
下雙坑,Xiashuangkeng
下雙溪,Xiashuangxi
下雙溪街,Xiashuangxi St.
下霸路,Xiaba Rd.
下灣巷,Xiawan Ln.
下灣寶庄,Xiawanbaozhuang
下庄,Xiazhuang
下庄子,Xiazhuangzi
下庄仔,Xiazhuangzai
下庄巷,Xiazhuang Ln.
下庄路,Xiazhuang Rd.
下湳巷,Xianan Ln.
下蔦松,Xianiaosong
上三屯,Shangsantun
上三崙,Shangsanlun
上四湖,Shangsihu
上九寮,Shangjiuliao
上口巷,Shangkou Ln.
上大,Shangda
上大山腳,Shangda Shanjiau
上大湖,Shangdahu
上大窩,Shangdawo
上山,Shangshan
上山一路,Shangshan 1st Rd.
上山二路,Shangshan 2nd Rd.
上山三路,Shangshan 3rd Rd.
上山五路,Shangshan 5th Rd.
上山六路,Shangshan 6th Rd.
上山下,Shangshanxia
上山村大山路,"Dashan Rd., Shangshan Vil."
上山村中山路,"Zhongshan Rd., Shangshan Vil."
上山路,Shangshan Rd.
上仁街,Shangren St.
上內壢,Shangneili
上北勢,Shangbeishi
上田心子,Shangtianxinzi
上田組,Shangtianzu
上田街,Shangtian St.
上石屯,Shangshitun
上石路,Shangshi Rd.
上石頭,Shangshitou
上后垵,Shanghou’an
上宇內,Shangyunei
上安北街,Shang’an N. St.
上安路,Shang’an Rd.
上竹一街,Shangzhu 1st St.
上竹二街,Shangzhu 2nd St.
上竹三街,Shangzhu 3rd St.
上竹四街,Shangzhu 4th St.
上竹五街,Shangzhu 5th St.
上竹六街,Shangzhu 6th St.
上竹七街,Shangzhu 7th St.
上竹巷,Shangzhu Ln.
上竹圍,Shangzhuwei
上竹路,Shangzhu Rd.
上利路,Shangli Rd.
上坑子口,Shangkengzikou
上杉路,Shangshan Rd.
上坪,Shangping
上坪街,Shangping St.
上明一街,Shangming 1st St.
上明二街,Shangming 2nd St.
上明三街,Shangming 3rd St.
上枋寮,Shangfangliao
上東興,Shangdongxing
上林,Shanglin
上林街,Shanglin St.
上林路頂部段,"Sec. Dingbu, Shanglin Rd."
上林路路上段,"Sec. Lushang, Shanglin Rd."
上河路,Shanghe Rd.
上青埔,Shangqingpu
上南片,Shangnanpian
上城街,Shangcheng St.
上城路,Shangcheng Rd.
上奎輝,Shangkuihui
上春路,Shangchun Rd.
上洲街,Shangzhou St.
上茄苳,Shangjiadong
上厝,Shangcuo
上厝巷,Shangcuo Ln.
上埔,Shangpu
上埔里崎仔頭,"Qizaitou, Shangpu Vil."
上埔路,Shangpu Rd.
上庫,Shangku
上海一街,Shanghai 1st St.
上海二街,Shanghai 2nd St.
上海西路,Shanghai W. Rd.
上海東路,Shanghai E. Rd.
上海巷,Shanghai Ln.
上海街,Shanghai St.
上海路,Shanghai Rd.
上高義蘭,Shanggaoyilan
上高遶,Shanggaorao
上埤巷,Shangpi Ln.
上將路１段,"Sec. 1, Shangjiang Rd."
上將路２段,"Sec. 2, Shangjiang Rd."
上將路３段,"Sec. 3, Shangjiang Rd."
上將路５段,"Sec. 5, Shangjiang Rd."
上將路６段,"Sec. 6, Shangjiang Rd."
上將路７段,"Sec. 7, Shangjiang Rd."
上崙,Shanglun
上崙一街,Shanglun 1st St.
上崙街,Shanglun St.
上康榔,Shangkanglang
上清街,Shangqing St.
上蚶路,Shanghan Rd.
上陰影窩,Shangyinyingwo
上湖,Shanghu
上湖一路,Shanghu 1st Rd.
上湖二路,Shanghu 2nd Rd.
上湖坑,Shanghukeng
上番子湖,Shangfanzihu
上隆路,Shanglong Rd.
上順路,Shangshun Rd.
上新,Shangxin
上新街,Shangxin St.
上新街中興巷,"Zhongxing Ln., Shangxin St."
上溪洲,Shangxizhou
上寧路,Shangning Rd.
上福路,Shangfu Rd.
上墩東街,Shangdun E. St.
上墩路,Shangdun Rd.
上寮巷,Shangliao Ln.
上寮路,Shangliao Rd.
上樟路１段,"Sec. 1, Shangzhang Rd."
上樟樹林,Shangzhang Shulin
上橫坑,Shanghengkeng
上橫坪,Shanghengping
上興街,Shangxing St.
上興街１段,"Sec. 1, Shangxing St."
上興街２段,"Sec. 2, Shangxing St."
上興路,Shangxing Rd.
上館,Shangguan
上雙坑,Shangshuangkeng
上麒麟路,Shangqilin Rd.
上彎,Shangwan
上庄,Shangzhuang
上庄子,Shangzhuangzi
上庄巷,Shangzhuang Ln.
上庄路,Shangzhuang Rd.
丸山,Wanshan
丸山一路,Wanshan 1st Rd.
丸山二路,Wanshan 2nd Rd.
丸山三路,Wanshan 3rd Rd.
丸山五路,Wanshan 5th Rd.
丸山六路,Wanshan 6th Rd.
丸山路,Wanshan Rd.
久安一街,Jiu’an 1st St.
久安二街,Jiu’an 2nd St.
久安三街,Jiu’an 3rd St.
久安五街,Jiu’an 5th St.
久安六街,Jiu’an 6th St.
久安七街,Jiu’an 7th St.
久安中路,Jiu’an Central Rd.
久安北路,Jiu’an N. Rd.
久安西路,Jiu’an W. Rd.
久安東路,Jiu’an E. Rd.
久安南路,Jiu’an S. Rd.
久安路,Jiu’an Rd.
久和路,Jiuhe Rd.
久居街,Jiuju St.
久昌街,Jiuchang St.
久采,Jiucai
久堂路,Jiutang Rd.
久堂路自強巷,"Ziqiang Ln., Jiutang Rd."
久堂路城隍巷,"Chenghuang Ln., Jiutang Rd."
久堂路博愛巷,"Bo’ai Ln., Jiutang Rd."
久堂路湖底一巷,"Hudi 1st Ln., Jiutang Rd."
久堂路湖底二巷,"Hudi 2nd Ln., Jiutang Rd."
久堂路湖底三巷,"Hudi 3rd Ln., Jiutang Rd."
久堂路鐵路巷,"Railway Ln., Jiutang Rd."
久康街,Jiukang St.
久富,Jiufu
久福街,Jiufu St.
久龍街,Jiulong St.
千甲路,Qianjia Rd.
千光路,Qianguang Rd.
千秋路,Qianqiu Rd.
千富街,Qianfu St.
千湖路,Qianhu Rd.
千歲街,Qiansui St.
千歲路,Qiansui Rd.
千壽路,Qianshou Rd.
千禧街,Qianxi St.
千禧路,Qianxi Rd.
口公館,Kougongguan
口厝路,Koucuo Rd.
口埤,Koupi
口湖子,Kouhuzi
口湖路,Kouhu Rd.
口寮巷,Kouliao Ln.
口庄,Kouzhuang
口庄街,Kouzhuang St.
口庄路,Kouzhuang Rd.
口墻圍,Kouqiangwei
土牛,Tuniu
土牛溝,Tuniugou
土地公山,Tudigongshan
土地公坑,Tudigongkeng
土地公前,Tudigongqian
土地公後,Tudigonghou
土地公埔,Tudigongpu
土地公嶺街,Tudigongling St.
土角巷,Tujiao Ln.
土豆寮,Tudouliao
土板,Tuban
土城中路,Tucheng Central Rd.
土城北路,Tucheng N. Rd.
土城西路,Tucheng W. Rd.
土城東路,Tucheng E. Rd.
土城南路,Tucheng S. Rd.
土城路,Tucheng Rd.
土庫,Tuku
土庫一街,Tuku 1st St.
土庫一路,Tuku 1st Rd.
土庫二街,Tuku 2nd St.
土庫二路,Tuku 2nd Rd.
土庫三街,Tuku 3rd St.
土庫三路,Tuku 3rd Rd.
土庫五街,Tuku 5th St.
土庫五路,Tuku 5th Rd.
土庫六街,Tuku 6th St.
土庫六路,Tuku 6th Rd.
土庫七街,Tuku 7th St.
土庫八街,Tuku 8th St.
土庫子,Tukuzi
土庫北路,Tuku N. Rd.
土庫尖路,Tukujian Rd.
土庫路,Tuku Rd.
土崎,Tuqi
土圍路,Tuwei Rd.
土場巷,Tuchang Ln.
土溝,Tugou
土葛路,Tuge Rd.
土壟,Tulong
士文路,Shiwen Rd.
士宏新村,Shihongxincun
士良街,Shiliang St.
士東街,Shidong St.
士東路,Shidong Rd.
士林街,Shilin St.
士香街,Shixiang St.
士校路,Shixiao Rd.
士商路,Shishang Rd.
士賢街,Shixian St.
夕泉一巷,Xiquan 1st Ln.
夕泉二巷,Xiquan 2nd Ln.
大士鳥,Dashiniao
大山,Dashan
大山一路,Dashan 1st Rd.
大山二路,Dashan 2nd Rd.
大山巷,Dashan Ln.
大山背,Dashanbei
大山街,Dashan St.
大山腳,Dashanjiao
大山路,Dashan Rd.
大川巷,Dachuan Ln.
大川街,Dachuan St.
大工路,Dagong Rd.
大中一街,Dazhong 1st St.
大中一路,Dazhong 1st Rd.
大中二路,Dazhong 2nd Rd.
大中山,Dazhongshan
大中路,Dazhong Rd.
大中寮,Dazhongliao
大井,Dajing
大仁一街,Daren 1st St.
大仁二街,Daren 2nd St.
大仁三街,Daren 3rd St.
大仁四街,Daren 4th St.
大仁五街,Daren 5th St.
大仁六街,Daren 6th St.
大仁七街,Daren 7th St.
大仁八街,Daren 8th St.
大仁九街,Daren 9th St.
大仁十街,Daren 10th St.
大仁北路,Daren N. Rd.
大仁西街,Daren W. St.
大仁東街,Daren E. St.
大仁東路,Daren E. Rd.
大仁南街,Daren S. St.
大仁南路,Daren S. Rd.
大仁街,Daren St.
大仁路,Daren Rd.
大仁路１段,"Sec. 1, Daren Rd."
大仁路２段,"Sec. 2, Daren Rd."
大仁路４段,"Sec. 4, Daren Rd."
大元路,Dayuan Rd.
大公三街,Dagong 3rd St.
大公五街,Dagong 5th St.
大公六街,Dagong 6th St.
大公七街,Dagong 7th St.
大公八街,Dagong 8th St.
大公十街,Dagong 10th St.
大公十二街,Dagong 12th St.
大公十三街,Dagong 13th St.
大公十四街,Dagong 14th St.
大公十五街,Dagong 15th St.
大公十六街,Dagong 16th St.
大公十七街,Dagong 17th St.
大公十九街,Dagong 19th St.
大公二十一街,Dagong 21st St.
大公街,Dagong St.
大公路,Dagong Rd.
大分林,Dafenlin
大孔尾,Dakongwei
大屯,Datun
大屯路,Datun Rd.
大屯路光華一巷,"Guanghua 1st Ln., Datun Rd."
大屯路光華二巷,"Guanghua 2nd Ln., Datun Rd."
大屯路光華三巷,"Guanghua 3rd Ln., Datun Rd."
大屯路光華四巷,"Guanghua 4th Ln., Datun Rd."
大屯寮,Datunliao
大方街,Dafang St.
大方新村,Dafangxincun
大水窟,Dashuiku
大水堀,Dashuiku
大火房,Dahuofang
大片田,Dapiantian
大片田尾,Dapian Tianwei
大片頭,Dapiantou
大牛稠,Daniuchou
大王路,Dawang Rd.
大丘田,Daqiutian
大丘園,Daqiuyuan
大功街,Dagong St.
大功路,Dagong Rd.
大北,Dabei
大北坑,Dabeikeng
大北坑街,Dabeikeng St.
大北坑街１段,"Sec. 1, Dabeikeng St."
大北勢,Dabeishi
大北路,Dabei Rd.
大占巷,Dazhan Ln.
大古崗,Dagugang
大古路,Dagu Rd.
大平,Daping
大平山下,Dapingshanxia
大平地,Dapingdi
大平巷,Daping Ln.
大平街,Daping St.
大平路,Daping Rd.
大平窩,Dapingwo
大弘一街,Dahong 1st St.
大弘二街,Dahong 2nd St.
大弘三街,Dahong 3rd St.
大弘四街,Dahong 4th St.
大弘五街,Dahong 5th St.
大弘六街,Dahong 6th St.
大弘街,Dahong St.
大正一街,Dazheng 1st St.
大正二街,Dazheng 2nd St.
大正三街,Dazheng 3rd St.
大正四街,Dazheng 4th St.
大正五街,Dazheng 5th St.
大正街,Dazheng St.
大正路,Dazheng Rd.
大民北路,Damin N. Rd.
大民街,Damin St.
大永路,Dayong Rd.
大生路,Dasheng Rd.
大甲街,Dajia St.
大白沙,Dabaisha
大石巷,Dashi Ln.
大份田,Dafentian
大光一街,Daguang 1st St.
大光二街,Daguang 2nd St.
大光巷,Daguang Ln.
大光街,Daguang St.
大光路,Daguang Rd.
大全一巷,Daquan 1st Ln.
大全二巷,Daquan 2nd Ln.
大全街,Daquan St.
大吉一街,Daji 1st St.
大吉一路,Daji 1st Rd.
大吉二街,Daji 2nd St.
大吉二路,Daji 2nd Rd.
大吉三路,Daji 3rd Rd.
大吉五路,Daji 5th Rd.
大吉東路,Daji E. Rd.
大吉東路大吉新屯,"Dajixincun, Daji E. Rd."
大吉街,Daji St.
大吉路,Daji Rd.
大吉路吉利新屯,"Jilixincun, Daji Rd."
大吉路花園新屯,"Huayuanxincun, Daji Rd."
大同,Datong
大同一巷,Datong 1st Ln.
大同一街,Datong 1st St.
大同一路,Datong 1st Rd.
大同二巷,Datong 2nd Ln.
大同二街,Datong 2nd St.
大同二路,Datong 2nd Rd.
大同三街,Datong 3rd St.
大同五街,Datong 5th St.
大同六街,Datong 6th St.
大同七街,Datong 7th St.
大同八街,Datong 8th St.
大同九街,Datong 9th St.
大同十街,Datong 10th St.
大同十一街,Datong 11th St.
大同十二街,Datong 12th St.
大同十三街,Datong 13th St.
大同十五街,Datong 15th St.
大同十七街,Datong 17th St.
大同十九街,Datong 19th St.
大同北路,Datong N. Rd.
大同西巷,Datong W. Ln.
大同西路,Datong W. Rd.
大同東巷,Datong E. Ln.
大同東路,Datong E. Rd.
大同南巷,Datong S. Ln.
大同南街,Datong S. St.
大同南路,Datong S. Rd.
大同巷,Datong Ln.
大同莊,Datongzhuang
大同街,Datong St.
大同街明光巷,"Mingguang Ln., Datong St."
大同街賢德巷,"Xiande Ln., Datong St."
大同新村,Datongxincun
大同新城,Datong Xincheng
大同路,Datong Rd.
大同路１段,"Sec. 1, Datong Rd."
大同路２段,"Sec. 2, Datong Rd."
大同路２段東興巷,"Dongxing Ln., Sec. 2, Datong Rd."
大同路２段南一巷,"S. 1st Ln., Sec. 2, Datong Rd."
大同路２段南二巷,"S. 2nd Ln., Sec. 2, Datong Rd."
大同路２段福泉巷,"Fuquan Ln., Sec. 2, Datong Rd."
大同路３段,"Sec. 3, Datong Rd."
大同路３段榮和巷,"Ronghe Ln., Sec. 3, Datong Rd."
大同路４段,"Sec. 4, Datong Rd."
大同路４段東金巷,"Dongjin Ln., Sec. 4, Datong Rd."
大同路５段,"Sec. 5, Datong Rd."
大同路大榮巷,"Darong Ln., Datong Rd."
大同路世居巷,"Shiju Ln., Datong Rd."
大同路市場巷,"Market Ln., Datong Rd."
大同路立峰巷,"Lifeng Ln., Datong Rd."
大同路竹林巷,"Zhulin Ln., Datong Rd."
大同路和平巷,"Heping Ln., Datong Rd."
大同路東巷,"E. Ln., Datong Rd."
大同路雅園巷,"Yayuan Ln., Datong Rd."
大同路裕農巷,"Yunong Ln., Datong Rd."
大同路學府巷,"Xuefu Ln., Datong Rd."
大同路館華巷,"Guanhua Ln., Datong Rd."
大同農場,Datong Farm
大圳巷,Dazun Ln.
大圳頂,Dazunding
大圳路,Dazun Rd.
大圳路１段,"Sec. 1, Dazun Rd."
大圳路２段,"Sec. 2, Dazun Rd."
大圳路３段,"Sec. 3, Dazun Rd."
大圳邊,Dazunbian
大地,Dadi
大地街,Dadi St.
大宅仔,Dazhaizai
大宅巷,Dazhai Ln.
大宅街,Dazhai St.
大安,Da’an
大安一街,Da’an 1st St.
大安一路,Da’an 1st Rd.
大安二路,Da’an 2nd Rd.
大安三街,Da’an 3rd St.
大安五街,Da’an 5th St.
大安六街,Da’an 6th St.
大安八街,Da’an 8th St.
大安西街,Da’an W. St.
大安港路,Da’angang Rd.
大安街,Da’an St.
大安路,Da’an Rd.
大安路１段,"Sec. 1, Da’an Rd."
大安路２段,"Sec. 2, Da’an Rd."
大安路３段,"Sec. 3, Da’an Rd."
大成一巷,Dacheng 1st Ln.
大成一街,Dacheng 1st St.
大成二巷,Dacheng 2nd Ln.
大成二街,Dacheng 2nd St.
大成三巷,Dacheng 3rd Ln.
大成三街,Dacheng 3rd St.
大成五巷,Dacheng 5th Ln.
大成五街,Dacheng 5th St.
大成六街,Dacheng 6th St.
大成七街,Dacheng 7th St.
大成八街,Dacheng 8th St.
大成九街,Dacheng 9th St.
大成十街,Dacheng 10th St.
大成十一街,Dacheng 11th St.
大成十二街,Dacheng 12th St.
大成十三街,Dacheng 13th St.
大成十四街,Dacheng 14th St.
大成十五街,Dacheng 15th St.
大成十六街,Dacheng 16th St.
大成十七街,Dacheng 17th St.
大成十八街,Dacheng 18th St.
大成十九街,Dacheng 19th St.
大成市場,Dacheng Market
大成南路,Dacheng S. Rd.
大成街,Dacheng St.
大成路,Dacheng Rd.
大成路１段,"Sec. 1, Dacheng Rd."
大成路２段,"Sec. 2, Dacheng Rd."
大成路安南巷,"Annan Ln., Dacheng Rd."
大有,Dayou
大有一街,Dayou 1st St.
大有二街,Dayou 2nd St.
大有三街,Dayou 3rd St.
大有四街,Dayou 4th St.
大有五街,Dayou 5th St.
大有西街,Dayou W. St.
大有東街,Dayou E. St.
大有街,Dayou St.
大有路,Dayou Rd.
大池角,Dachijiao
大竹,Dazhu
大竹一街,Dazhu 1st St.
大竹二街,Dazhu 2nd St.
大竹北路,Dazhu N. Rd.
大竹坑,Dazhukeng
大竹林,Dazhulin
大竹南路,Dazhu S. Rd.
大竹圍,Dazhuwei
大竹圍路,Dazhuwei Rd.
大竹路,Dazhu Rd.
大竹路水坑巷,"Shuikeng Ln., Dazhu Rd."
大竹路國中巷,"Guozhong Ln., Dazhu Rd."
大老巷,Dalao Ln.
大舌湖,Dashehu
大行街,Daxing St.
大西一街,Daxi 1st St.
大西二街,Daxi 2nd St.
大西路,Daxi Rd.
大亨街,Daheng St.
大亨路,Daheng Rd.
大佃路,Dadian Rd.
大別莊,Dabiezhuang
大利一路,Dali 1st Rd.
大利二路,Dali 2nd Rd.
大利三路,Dali 3rd Rd.
大利街,Dali St.
大利幹,Daligan
大利新村,Dalixincun
大利路,Dali Rd.
大利路１段,"Sec. 1, Dali Rd."
大利路２段,"Sec. 2, Dali Rd."
大利路３段,"Sec. 3, Dali Rd."
大坑,Dakeng
大坑二路,Dakeng 2nd Rd.
大坑三路,Dakeng 3rd Rd.
大坑五路,Dakeng 5th Rd.
大坑六路,Dakeng 6th Rd.
大坑尾,Dakengwei
大坑巷,Dakeng Ln.
大坑街,Dakeng St.
大坑路,Dakeng Rd.
大坑路１段,"Sec. 1, Dakeng Rd."
大坑路２段,"Sec. 2, Dakeng Rd."
大坑路３段,"Sec. 3, Dakeng Rd."
大坑墘巷,Dakengqian Ln.
大孝街,Daxiao St.
大孝路,Daxiao Rd.
大旱坑,Dahankeng
大肚,Dadu
大肚街,Dadu St.
大赤崁,Dachikan
大車路,Dache Rd.
大里一街,Dali 1st St.
大里二街,Dali 2nd St.
大里街,Dali St.
大里路,Dali Rd.
大里路中里巷,"Zhongli Ln., Dali Rd."
大里路西里巷,"Xili Ln., Dali Rd."
大里網,Daliwang
大享街,Daxiang St.
大享街１段,"Sec. 1, Daxiang St."
大享路,Daxiang Rd.
大和,Dahe
大和街,Dahe St.
大和路,Dahe Rd.
大坪,Daping
大坪一路,Daping 1st Rd.
大坪二街,Daping 2nd St.
大坪三街,Daping 3rd St.
大坪五街,Daping 5th St.
大坪村,Daping Vil.
大坪林,Dapinglin
大坪巷,Daping Ln.
大坪頂,Dapingding
大坪街,Daping St.
大坪路,Daping Rd.
大坪營,Dapingying
大坡,Dapo
大坡塘,Dapotang
大坡路,Dapo Rd.
大坡路１段,"Sec. 1, Dapo Rd."
大坡路２段,"Sec. 2, Dapo Rd."
大岸巷,Da’an Ln.
大岩巷,Dayan Ln.
大忠一路,Dazhong 1st Rd.
大忠二路,Dazhong 2nd Rd.
大忠南街,Dazhong S. St.
大忠街,Dazhong St.
大忠路,Dazhong Rd.
大房路,Dafang Rd.
大旺路,Dawang Rd.
大昌一路,Dachang 1st Rd.
大昌二路,Dachang 2nd Rd.
大昌街,Dachang St.
大昌路,Dachang Rd.
大昌路三和巷,"Sanhe Ln., Dachang Rd."
大昌路１段,"Sec. 1, Dachang Rd."
大昌路２段,"Sec. 2, Dachang Rd."
大昌路大德巷,"Dade Ln., Dachang Rd."
大明一街,Daming 1st St.
大明一路,Daming 1st Rd.
大明二街,Daming 2nd St.
大明二路,Daming 2nd Rd.
大明三街,Daming 3rd St.
大明三路,Daming 3rd Rd.
大明四街,Daming 4th St.
大明五街,Daming 5th St.
大明巷,Daming Ln.
大明街,Daming St.
大明路,Daming Rd.
大東,Dadong
大東一路,Dadong 1st Rd.
大東二路,Dadong 2nd Rd.
大東坑,Dadongkeng
大東家,Dadongjia
大東街,Dadong St.
大東勢,Dadongshi
大東路,Dadong Rd.
大果葉,Daguoye
大林巷,Dalin Ln.
大林街,Dalin St.
大林路,Dalin Rd.
大松,Dasong
大松腳,Dasongjiao
大武山一街,Dawushan 1st St.
大武山二街,Dawushan 2nd St.
大武山三街,Dawushan 3rd St.
大武山四街,Dawushan 4th St.
大武山五街,Dawushan 5th St.
大武山六街,Dawushan 6th St.
大武山七街,Dawushan 7th St.
大武街,Dawu St.
大武街保安巷,"Bao’an Ln., Dawu St."
大武路,Dawu Rd.
大武路１段,"Sec. 1, Dawu Rd."
大武路２段,"Sec. 2, Dawu Rd."
大武路３段,"Sec. 3, Dawu Rd."
大河一巷,Dahe 1st Ln.
大河二巷,Dahe 2nd Ln.
大河街,Dahe St.
大直街,Dazhi St.
大社,Dashe
大社南路,Dashe S. Rd.
大社街,Dashe St.
大社路,Dashe Rd.
大社路１段,"Sec. 1, Dashe Rd."
大社路２段,"Sec. 2, Dashe Rd."
大社路３段,"Sec. 3, Dashe Rd."
大舍北路,Dashe N. Rd.
大舍西路,Dashe W. Rd.
大舍東路,Dashe E. Rd.
大舍東路公厝巷,"Gongcuo Ln., Dashe E. Rd."
大舍東路聖公巷,"Shenggong Ln., Dashe E. Rd."
大舍南路,Dashe S. Rd.
大芳街,Dafang St.
大邱路,Daqiu Rd.
大金山下,Dajinshanxia
大長路,Dachang Rd.
大門巷,Damen Ln.
大青坑,Daqingkeng
大信巷,Daxin Ln.
大信街,Daxin St.
大信路,Daxin Rd.
大勇一街,Dayong 1st St.
大勇二街,Dayong 2nd St.
大勇三街,Dayong 3rd St.
大勇四街,Dayong 4th St.
大勇北路,Dayong N. Rd.
大勇市場,Dayong Market
大勇巷,Dayong Ln.
大勇街,Dayong St.
大勇街１段,"Sec. 1, Dayong St."
大勇街仁愛巷,"Ren’ai Ln., Dayong St."
大勇街孝順巷,"Xiaoshun Ln., Dayong St."
大勇街和平巷,"Heping Ln., Dayong St."
大勇街忠勇巷,"Zhongyong Ln., Dayong St."
大勇街信義巷,"Xinyi Ln., Dayong St."
大勇街勤儉巷,"Qinjian Ln., Dayong St."
大勇街禮節巷,"Lijie Ln., Dayong St."
大勇路,Dayong Rd.
大南坑,Danankeng
大南村茅仔埔,"Maozaipu, Danan Vil."
大南埔,Dananpu
大南勢,Dananshi
大南路,Danan Rd.
大城北,Dachengbei
大城村西平路,"Xiping Rd., Dacheng Vil."
大城村東平路,"Dongping Rd., Dacheng Vil."
大城村東勢路,"Dongshi Rd., Dacheng Vil."
